2023-08-25 10:38:36.1412|14|INFO|Microsoft.Hosting.Lifetime|Now listening on: https://localhost:7285 |url: |action: 
2023-08-25 10:38:36.1412|14|INFO|Microsoft.Hosting.Lifetime|Now listening on: http://localhost:5136 |url: |action: 
2023-08-25 10:38:36.1412|0|INFO|Microsoft.Hosting.Lifetime|Application started. Press Ctrl+C to shut down. |url: |action: 
2023-08-25 10:38:36.1412|0|INFO|Microsoft.Hosting.Lifetime|Hosting environment: Development |url: |action: 
2023-08-25 10:38:36.1412|0|INFO|Microsoft.Hosting.Lifetime|Content root path: D:\Project\C#\KChatServe\KChatServe\ |url: |action: 
2023-08-25 10:40:09.9854|14|INFO|Microsoft.Hosting.Lifetime|Now listening on: https://localhost:7285 |url: |action: 
2023-08-25 10:40:09.9854|14|INFO|Microsoft.Hosting.Lifetime|Now listening on: http://localhost:5136 |url: |action: 
2023-08-25 10:40:09.9854|0|INFO|Microsoft.Hosting.Lifetime|Application started. Press Ctrl+C to shut down. |url: |action: 
2023-08-25 10:40:09.9854|0|INFO|Microsoft.Hosting.Lifetime|Hosting environment: Development |url: |action: 
2023-08-25 10:40:09.9854|0|INFO|Microsoft.Hosting.Lifetime|Content root path: D:\Project\C#\KChatServe\KChatServe\ |url: |action: 
2023-08-25 10:44:11.2551|14|INFO|Microsoft.Hosting.Lifetime|Now listening on: https://localhost:7285 |url: |action: 
2023-08-25 10:44:11.2551|14|INFO|Microsoft.Hosting.Lifetime|Now listening on: http://localhost:5136 |url: |action: 
2023-08-25 10:44:11.2551|0|INFO|Microsoft.Hosting.Lifetime|Application started. Press Ctrl+C to shut down. |url: |action: 
2023-08-25 10:44:11.2551|0|INFO|Microsoft.Hosting.Lifetime|Hosting environment: Development |url: |action: 
2023-08-25 10:44:11.2551|0|INFO|Microsoft.Hosting.Lifetime|Content root path: D:\Project\C#\KChatServe\KChatServe\ |url: |action: 
2023-08-25 10:44:30.7339|14|INFO|Microsoft.Hosting.Lifetime|Now listening on: https://localhost:7285 |url: |action: 
2023-08-25 10:44:30.7339|14|INFO|Microsoft.Hosting.Lifetime|Now listening on: http://localhost:5136 |url: |action: 
2023-08-25 10:44:30.7339|0|INFO|Microsoft.Hosting.Lifetime|Application started. Press Ctrl+C to shut down. |url: |action: 
2023-08-25 10:44:30.7339|0|INFO|Microsoft.Hosting.Lifetime|Hosting environment: Development |url: |action: 
2023-08-25 10:44:30.7339|0|INFO|Microsoft.Hosting.Lifetime|Content root path: D:\Project\C#\KChatServe\KChatServe\ |url: |action: 
2023-08-25 10:45:18.8129|14|INFO|Microsoft.Hosting.Lifetime|Now listening on: https://localhost:7285 |url: |action: 
2023-08-25 10:45:18.8129|14|INFO|Microsoft.Hosting.Lifetime|Now listening on: http://localhost:5136 |url: |action: 
2023-08-25 10:45:18.8129|0|INFO|Microsoft.Hosting.Lifetime|Application started. Press Ctrl+C to shut down. |url: |action: 
2023-08-25 10:45:18.8129|0|INFO|Microsoft.Hosting.Lifetime|Hosting environment: Development |url: |action: 
2023-08-25 10:45:18.8129|0|INFO|Microsoft.Hosting.Lifetime|Content root path: D:\Project\C#\KChatServe\KChatServe\ |url: |action: 
2023-08-25 10:45:41.9765|14|INFO|Microsoft.Hosting.Lifetime|Now listening on: https://localhost:7285 |url: |action: 
2023-08-25 10:45:41.9765|14|INFO|Microsoft.Hosting.Lifetime|Now listening on: http://localhost:5136 |url: |action: 
2023-08-25 10:45:41.9765|0|INFO|Microsoft.Hosting.Lifetime|Application started. Press Ctrl+C to shut down. |url: |action: 
2023-08-25 10:45:41.9765|0|INFO|Microsoft.Hosting.Lifetime|Hosting environment: Development |url: |action: 
2023-08-25 10:45:41.9765|0|INFO|Microsoft.Hosting.Lifetime|Content root path: D:\Project\C#\KChatServe\KChatServe\ |url: |action: 
2023-08-25 10:47:24.8022|14|INFO|Microsoft.Hosting.Lifetime|Now listening on: https://localhost:7285 |url: |action: 
2023-08-25 10:47:24.8250|14|INFO|Microsoft.Hosting.Lifetime|Now listening on: http://localhost:5136 |url: |action: 
2023-08-25 10:47:24.8250|0|INFO|Microsoft.Hosting.Lifetime|Application started. Press Ctrl+C to shut down. |url: |action: 
2023-08-25 10:47:24.8250|0|INFO|Microsoft.Hosting.Lifetime|Hosting environment: Development |url: |action: 
2023-08-25 10:47:24.8250|0|INFO|Microsoft.Hosting.Lifetime|Content root path: D:\Project\C#\KChatServe\KChatServe\ |url: |action: 
2023-08-25 10:48:16.7386|14|INFO|Microsoft.Hosting.Lifetime|Now listening on: https://localhost:7285 |url: |action: 
